ð ə; the
l ˈ aɪ n; line
ˈ iː s t; east
l ˈ əʊ k ə l; local
ˈ ɛ n i; any
s ˈ ɒ ŋ; song
d j ˈ uː; dew due
ə l ˈ ɒ ŋ; along
s ˈ ɜː v ɪ s; service
p ˈ ɑː t i; party
b ˈ ɛ s t; best
f ˈ ɛ b j ʊə ɹ i; february
s ˈ ɜː v d; served
d ɪ d; did
b ˈ æ k; back
ə n ˈ ʌ ð ə; another
b ˈ eɪ s t; based baste
k ˈ ʊ d; could
w ɪ ð ˈ ɪ n; within
ɹ ɪ s ˈ iː v d; received
s ˈ ɛ n tʃ ə ɹ i; century
v ˈ ɪ l ɪ dʒ; village
b ˈ ɪ l t; built
l ˈ aɪ k; like
m ˈ ɛ m b ə z; members
b ˈ ɪ l d ɪ ŋ; building
m ˈ eɪ dʒ ə; major
f ˈ aɪ n ə l; final
ʃ ˈ əʊ; show
g ˈ eɪ m z; games
ˌ ɔː l ð ˈ əʊ; although
ɪ n k l ˈ uː d; include
s p ˈ iː ʃ i z; species
d ˈ ɛ θ; death
b ˈ æ n d; band banned
s m ˈ ɔː l; small
m ˈ eɪ n; main maine mane
l ˈ ɛ f t; left
p ɹ ˈ ɛ z ɪ d ə n t; president
s ˈ ɛ d; said
p ˈ ʌ b l ɪ ʃ t; published
d ˈ aɪ d; died
l ˈ ɑː dʒ; large
l ˈ ɑː s t; last
f ˈ aɪ v; five
ˈ ɔː d ə; order
s ˈ ɪ ŋ g ə l; single
s ˈ ɛ t; set
θ ˈ ɜː d; third
ˈ əʊ n; own
ð ˈ əʊ z; those
ˌ ɛ d j ʊ k ˈ eɪ ʃ ə n; education
ə k ˈ ɔː d ɪ ŋ; according
ɪ n k l ˈ uː d ɪ d; included
l ˈ ɒ ŋ; long
v ˈ ɛ ɹ i; very
p ˈ ɑː k; park
s t ˈ ɪ l; still
ɹ ˈ əʊ d; rhode road rode
ˈ ɑː m i; army
d ɪ v ˈ ɪ ʒ ə n; division
b ˈ ʊ k; book
d ɪ v ˈ ɛ l ə p m ə n t; development
ə m ˈ ʌ ŋ; among
l ˈ ɔː; law
ˈ ɒ f ə n; often
f ɹ ˈ ɛ n tʃ; french
m ˈ uː v d; moved
t ˈ aɪ m z; times
w ˈ ɒ t; watt what
k ə m j ˈ uː n ɪ t i; community
s ˈ ɛ n t ɹ ə l; central
l ˈ ɛ d; led
ˈ ɪ ŋ g l ɪ ʃ; english
ə ɹ ˈ ɪ dʒ ɪ n ə l; original
ˈ əʊ l d; old
s ˈ ʌ n; son sun
tʃ ˈ ɪ l d ɹ ə n; children
m ˈ ɪ l j ə n; million
d ˈ ɪ f ɹ ə n t; different
n ˈ ɪə; near
dʒ ə s t; just
t ˈ ɒ p; top
l ˈ eɪ t; late
ə g ˈ ɛ n; again
w ˈ ɔː t ə; water
ˈ ɛə; air heir
g ɹ ˈ eɪ t; grate great
s ˈ ɛ n t ə; center centre
f ˈ ɔː m; form
m ˈ ʌ tʃ; much
ɹ ɪ s ˈ ɜː tʃ; research
s ˈ aɪ d; side sighed
ˈ ʌ s; us
ˈ ɑː t; art
k ˈ ɔː t; caught court
p l ˈ eɪ; play
d ˈ aʊ n; down
k ˈ ʌ n t ɹ i; country
ˈ ɒ f; off
ˈ iː v ə n; even
k ˈ aʊ n s ə l; council counsel
dʒ ˈ ɜː m ə n; german
s t ɹ ˈ iː t; street
ɹ ˈ ɛ k ɔː d; record
p ˈ aʊ ə; power
ɪ s t ˈ æ b l ɪ ʃ t; established
l ˈ ʌ n d ə n; london
l ˈ æ n d; land
k ˈ ʌ p; cup
h ˈ æ v ɪ ŋ; having
t ˈ aɪ t ə l; title
s t ˈ ɑː t ɪ d; started
s ə p ˈ ɔː t; support
p ə l ˈ ɪ t ɪ k ə l; political
s t j ˈ uː d ə n t s; students
ə w ˈ ɔː d; award
m ˈ ɪ l ɪ t ə ɹ i; military
p ˈ ɪə ɹ ɪə d; period
k ˈ eɪ m; came
w ˈ ɛ n t; went
p ɹ ə d ˈ ʌ k ʃ ə n; production
w ˈ aɪ t; white wight
w ˈ eɪ; way weigh whey
g ˈ ɪ v ə n; given
ˈ aɪ l ə n d; island
m ˈ eɪ k; make
n ˈ ɛ k s t; next
ɹ ˈ əʊ l; role roll
t ˈ ɛ l ɪ v ˌ ɪ ʒ ə n; television
k ˈ ɪ ŋ; king
ɹ ˈ iː dʒ ə n; region
w ˈ ɜː k s; works
t ˈ əʊ t ə l; total
tʃ ˈ æ m p ɪə n ʃ ˌ ɪ p; championship
j ˈ uː z ɪ ŋ; using
v ˈ ɛə ɹ ɪə s; various
h ˈ ɛ d; head
ˈ ɒ f ɪ s; office
s ˈ ɪ k s; six
d ˈ uː; do
p l ˈ eɪ ə; player
b ɪ k ˈ ʌ m; become
f ˈ ɑː ð ə; farther father
l ˈ ɪ s t; list
b ˈ ɪ z n ɪ s; business
w ˈ ɛ s t ə n; western
p ɹ ə d j ˈ uː s t; produced
d aɪ ɹ ˈ ɛ k t ə; director
m ˈ æ ɹ i d; married
p ɹ ˈ əʊ g ɹ ˌ æ m; program programme
ə s ˌ əʊ s ɪ ˈ eɪ ʃ ə n; association
ˈ ɪ ŋ g l ə n d; england
f ˈ iː l d; field
w ˈ ɜː k t; worked
ɪ l ˈ ɛ k ʃ ə n; election
b l ˈ æ k; black
d ɪ p ˈ ɑː t m ə n t; department
dʒ ˈ ɔɪ n d; joined
ə n ˈ aʊ n s t; announced
k ɹ iː ˈ eɪ t ɪ d; created
p ˈ ɔɪ n t; point
ɹ ɪ t ˈ ɜː n d; returned
p ɹ ə f ˈ ɛ ʃ ə n ə l; professional
j ˈ uː n j ə n; union
ɹ ˈ ɪ t ə n; written
f j ˈ uː; few phew
j ə; you your
j ˈ ʌ ŋ; young
w ɪ ð ˈ aʊ t; without
t ˈ eɪ k; take
d ɪ s k ɹ ˈ aɪ b d; described
s ˈ aɪ t; cite sight site
ɹ ˈ ɔɪ ə l; royal
s ˈ ɜː v ɪ s ɪ z; services
ɹ ˈ eɪ d ɪ ˌ əʊ; radio
t ə g ˈ ɛ ð ə; together
s ˈ əʊ ʃ ə l; social
f ˈ ɔː s; force
n ˈ ɔː ð ə n; northern
p ə; per
f ˈ aʊ n d ɪ d; founded
ˈ æ k t; act
ð ˈ əʊ; though
s ə s ˈ aɪ ə t i; society
ɹ ˈ əʊ t; rote wrote
f ˈ ɜː ð ə; further
w ˈ ɪ m ɪ n; women
d ˈ eɪ z; days daze
l ˈ ɒ s t; lost
k ə n t ˈ ɪ n j uː d; continued
d ɪ z ˈ aɪ n; design
w ˈ ɪ l j ə m; william
ˈ ɛ v ɹ i; every
v ˈ ɜː ʒ ə n; version
p ɹ ˈ ɒ dʒ ɛ k t; project
s ˈ ʌ m ə; summer
l ˈ ɪ v; live
m ˈ ɛ n; men
m ˈ æ n; man
j ˌ ʊə ɹ ə p ˈ iː ə n; european
w ˈ iː; we wee
s ˈ ʌ ð ə n; southern
p ə z ˈ ɪ ʃ ə n; position
b ˈ ɔː d; board bored
ˈ ɪ n d ɪə; india
f ɹ ˈ ɑː n s; france
ɹ ˈ aʊ n d; round
ɹ ˈ eɪ l w ˌ eɪ; railway
ˈ əʊ p ə n; open
l ˈ ɛ v ə l; level
k ə n s ˈ ɪ d ə d; considered
k ə n t ɹ ˈ əʊ l; control
ˈ əʊ p ə n d; opened
ɹ ˈ ʌ n; run
ɒ s t ɹ ˈ eɪ l ɪə; australia
ɹ ɪ k ˈ ɔː d ɪ d; recorded
ɪ m p ˈ ɔː t ə n t; important
s ˈ æ n; san
w ˈ ʌ n s; once
v ˈ ɪ d ɪ əʊ; video
k ˌ æ l ɪ f ˈ ɔː n j ə; california
s p ˈ ɛ ʃ ə l; special
w ˈ ɪ n; win
p ˈ ɒ p j ʊ l ə; popular
ə p ˈ ɪə d; appeared
m ˈ æ tʃ; match
ɹ ɪ l ˈ iː s; release
k ˈ ɒ m ə n; common
b ˈ æ t ə l; battle
ˈ ɛə ɹ ɪə z; areas
h ˈ ɔː l; hall haul
ɪ v ˈ ɛ n t; event
w ˈ ɜː k ɪ ŋ; working
ɹ ˈ ɛ k ɔː d z; records
dʒ ˈ eɪ m z; james
f ˈ ɔː m d; formed
ɹ ˈ aɪ t; right rite wright write
p l ˈ eɪ ɪ ŋ; playing
s ˈ iː; cee sea see
ˈ æ v ɹ ɪ dʒ; average
ˈ ʌ ð ə z; others
ʃ ˈ ɔː t; short
s ˈ ɪ m ɪ l ə; similar
t ˈ iː m z; teams
ɪ l ˈ ɛ k t ɪ d; elected
dʒ ˈ ɔː dʒ; george
k ˈ ʌ ɹ ə n t l i; currently
m ˈ eɪ k ɪ ŋ; making
ɪ g z ˈ ɑː m p ə l; example
ə w ˈ ɔː d z; awards
k ə n s t ɹ ˈ ʌ k ʃ ə n; construction
s t ˈ ɔː ɹ i; story
l ˈ ɪ v ɪ ŋ; living
ɹ ˈ ɛ d; red
ə ɹ ˈ ɪ dʒ n ə l i; originally
d ˈ eɪ b j uː; debut
ɹ ˈ eɪ s; race
l ˈ æ ŋ g w ɪ dʒ; language
f ˈ ɔː s ɪ z; forces
l ˈ iː d; lead
l ˈ ɑː; la
s ˈ aɪ n d; signed
d ɪ v ˈ ɛ l ə p t; developed
m ˈ ɒ d ə n; modern
ə p ˈ ɔɪ n t ɪ d; appointed
k ˈ eɪ s; case
ə d ˈ ɪ ʃ ə n; addition
p ə l ˈ iː s; police
w ˈ aɪ f; wife
ɹ ɪ z ˈ ʌ l t; result
m ˈ ɪ n ɪ s t ə; minister
s k ˈ uː l z; schools
ɪ v ˈ ɛ n t s; events
ə m ˈ ɛ ɹ ɪ k ə; america
ɹ ˈ uː t; root route
l ˈ ɪ t ə l; little
l ˈ eɪ k; lake
k ˈ æ n ə d ə; canada
h ɪ m s ˈ ɛ l f; himself
s ˈ ɒ ŋ z; songs
k ˈ ʌ ɹ ə n t; current
ə p ˈ ɒ n; upon
h ˈ aʊ; how
p ˈ ɔɪ n t s; points
ɹ ˈ ɒ k; rock
p ɹ ɪ z ˈ ɛ n t; present
n ˈ ɛ v ə; never
f ɹ ˈ iː; free
s ˈ aɪ ə n s; science
ˌ ɪ n f ə m ˈ eɪ ʃ ə n; information
h ˈ ɛ l θ; health
t ɹ ˈ eɪ n ɪ ŋ; training
k l ˈ ɑː s; class
θ ɹ uː ˈ aʊ t; throughout
t ɹ ˈ æ k; track
g ˈ ʊ d; good
m ˈ iː d ɪə; media
m j uː z ˈ ɪə m; museum
ə k ɹ ˈ ɒ s; across
ɒ s t ɹ ˈ eɪ l ɪə n; australian
h j ˈ uː m ə n; human
s ˈ ɛ n s ə s; census
ˈ ɪ n d ɪə n; indian
s t ˈ aɪ l; stile style
p ˈ ɜː s ə n ə l; personal
l ˈ ʌ v; love
dʒ ˈ ɜː m ə n i; germany
ə v ˈ eɪ l ə b ə l; available
p ɹ ˈ ɒ v ɪ n s; province
t ˈ ʊə; tour
ə w ˈ eɪ; away
ɪ v ˈ ɛ n tʃ ʊə l i; eventually
b ˈ ɒ d i; body
d ɪ s p ˈ aɪ t; despite
ˈ iː s t ə n; eastern
s ˈ əʊ l d; sold
k ə m ˈ ɪ t i; committee
p ə f ˈ ɔː m ə n s; performance
p l ˈ eɪ ə z; players
f ˈ iː tʃ ə z; features
f ˈ ɛ s t ɪ v ə l; festival
k ˈ əʊ tʃ; coach
ʃ ˈ ʊ d; should
ɹ ɪ t ˈ ɜː n; return
t ˈ eɪ k ə n; taken
s ˈ ɛ v ə n; seven
f ˈ ɒ l əʊ d; followed
d ɪ z ˈ aɪ n d; designed
p ə f ˈ ɔː m d; performed
ə f ˈ ɪ ʃ ə l; official
d ˈ eɪ v ɪ d; david
l ˈ ɛ s; less
g ˈ eɪ v; gave
m ˈ ʌ n θ s; months
f ˈ ɪ n ɪ ʃ t; finished
d ˈ ɔː t ə; daughter
p ɹ ˈ əʊ s ˌ ɛ s; process
ɹ ɪ f ˈ ɜː; refer
s t ˈ ʌ d i; study
j ˈ ʊə ɹ ə p; europe
ˈ ɪ n s t ɪ t j ˌ uː t; institute
s t ˈ eɪ dʒ; stage
t ˈ ɜː m; term
ɹ ˈ eɪ n dʒ; range
tʃ ˈ iː f; chief
f ˈ aɪ ə; fire
d ə z; does
ɹ ˈ aɪ t s; rights writes
k ə m p l ˈ iː t ɪ d; completed
ˈ ɑː t s; arts
h ˈ ɑː f; half
ɹ ɪ m ˈ eɪ n d; remained
l ˈ ɑː dʒ ɪ s t; largest
m ˈ ʌ ð ə; mother
k ˈ æ ɹ ɪ k t ə; character
ɪ n k l ˈ uː d z; includes
s ˈ ɪ v ə l; civil
p ɹ ˈ aɪ v ɪ t; private
l ˈ aɪ t; light lite
l ˈ iː d ɪ ŋ; leading
ɹ ɪ p ˈ ɔː t ɪ d; reported
n ˈ ɛ t w ˌ ɜː k; network
h ˈ ɛ l p; help
j ˈ uː ʒ ʊə l i; usually
s ˈ iː n; scene seen
g ɹ ˈ uː p s; groups
s t ˈ ʌ d i z; studies
f ˈ iː tʃ ə d; featured
f ˈ ɛ d ɹ ə l; federal
f ˈ ʊ l; full
ˈ ɛ p ɪ s ˌ əʊ d; episode
ð ˈ ʌ s; thus
ə k ˈ æ d ə m i; academy
n ˈ aɪ t; knight night
k ˌ ɒ m p ɪ t ˈ ɪ ʃ ə n; competition
s p ˈ eɪ s; space
g ˈ ɛ t; get
ɪ n s t ˈ ɛ d; instead
tʃ ˈ aɪ n ə; china
m ˈ ʌ s t; must
ɹ ˈ ɒ b ə t; robert
dʒ ˌ æ p ə n ˈ iː z; japanese
g ˈ əʊ; go
w ˈ ɒ ʃ ɪ ŋ t ə n; washington
f ɹ ˈ ʌ n t; front
d aɪ ɹ ˈ ɛ k t ɪ d; directed
t ˈ ɔː n ə m ə n t; tournament
m ˈ aɪ; my
t ˈ ɒ m ə s; thomas
n j ˈ uː z; news
b ˈ ʊ k s; books
b ɹ ˈ ʌ ð ə; brother
ɪ n v ˈ ɒ l v d; involved
k æ m p ˈ eɪ n; campaign
ˌ ɪ n d ɪ p ˈ ɛ n d ə n t; independent
ˈ aɪ ð ə; either
m ˈ ɒ d ə l; model
k ˈ ʌ n t ɹ i z; countries
ə w ˈ ɔː d ɪ d; awarded
ˈ eɪ b ə l; abel able
dʒ ə p ˈ æ n; japan
s p ˈ ɔː t s; sports
tʃ ˈ ɑː l z; charles
g ˈ əʊ l d; gold
s ˈ ɛ k ʃ ə n; section
k ˈ æ p ɪ t ə l; capital capitol
k ˈ ɪ ŋ d ə m; kingdom
k l ˈ əʊ s; close
m ˈ ɪ d ə l; middle
ˈ æ d ɪ d; added
f ˈ ɔː θ; forth fourth
s ˈ ɛ n t; cent scent sent
m ˈ uː v m ə n t; movement
ˈ eɪ t; ate eight
s t j ˈ uː d ɪ ˌ əʊ; studio
p ɹ ˈ iː v ɪə s; previous
p ɹ ə v ˈ aɪ d ɪ d; provided
k ˈ ɒ n f ɹ ə n s; conference
ə b ˈ ʌ v; above
s ˈ uː n; soon
t ə d ˈ eɪ; today
g ɹ ˈ æ n d; grand
m ˈ æ g ə z ˌ iː n; magazine
k ə n ˈ eɪ d ɪə n; canadian
ɹ ɪ p l ˈ eɪ s t; replaced
ˈ ɛə k ɹ ˌ ɑː f t; aircraft
tʃ ˈ eɪ n dʒ; change
f ˈ ɪ l m z; films
t ˈ ɛ n; ten
m ˈ ɛ d ɪ k ə l; medical
ˌ ɔː g ə n aɪ z ˈ eɪ ʃ ə n; organisation organization
b ˈ æ ŋ k; bank
h ɪ s t ˈ ɒ ɹ ɪ k; historic
k ˈ əʊ s t; coast
k ˈ ɪ l d; killed
m ˈ æ n ɪ dʒ m ə n t; management
d ɪ g ɹ ˈ iː; degree
ɹ ˈ ɑː ð ə; rather
ˈ ɪ n d ə s t ɹ i; industry
ɹ ˈ ʌ ʃ ə n; russian
p ɹ ə f ˈ ɛ s ə; professor
tʃ aɪ n ˈ iː z; chinese
ˈ æ k ʃ ə n; action
k ˈ ɑː; car
s ˈ iː n j ə; senior
s ˈ ɪ s t ə m z; systems
g ɹ ˈ iː n; green
b ɹ ˈ ɪ dʒ; bridge
t ɛ k n ˈ ɒ l ə dʒ i; technology
ˈ ɔː l m ˌ əʊ s t; almost
ʃ ˈ əʊ z; shows
b ˈ ɪ g; big
l ˈ əʊ ə; lower
w ˈ iː k; weak week
s ə k s ˈ ɛ s; success
ɹ ˈ aɪ t ɪ ŋ; writing
b ˈ eɪ s; base
d ˈ eɪ t ə; data
f ˈ æ m l i z; families
p ˈ əʊ s t; post
l ˈ iː s t; least
m ˈ ɑː k ɪ t; market
p ɹ ˈ aɪ m ə ɹ i; primary
f ˈ iː m ˌ eɪ l; female
ɹ ˈ iː tʃ t; reached
b ɪ g ˈ ɪ n ɪ ŋ; beginning
v ˈ æ l i; valley
g ɹ ˈ aʊ n d; ground
t ˈ aɪ p; type
s t ˈ eɪ t ɪ d; stated
ˌ ɒ p ə ɹ ˈ eɪ ʃ ə n z; operations
ə t ˈ æ k; attack
h ˈ ɒ s p ˌ ɪ t ə l; hospital
s ˈ ɔː; saw soar sore
ə p ɹ ˈ ɒ k s ɪ m ə t l i; approximately
p ˈ ɔː l; paul
k ˈ ʌ l tʃ ə; culture
ɹ ɪ p ˈ ʌ b l ɪ k; republic
s ˈ aɪ z; sighs size
p ɹ ˈ iː v ɪə s l i; previously
d ɪ s ˈ aɪ d ɪ d; decided
ˌ ɪ n t ɹ ə d j ˈ uː s t; introduced
h ˈ ɪ l; hill
b ˈ ɪ l d ɪ ŋ z; buildings
tʃ ˈ æ m p ɪə n ʃ ˌ ɪ p s; championships
p ɹ ə v ˈ aɪ d; provide
n ˈ eɪ t ɪ v; native
s ə k s ˈ ɛ s f ə l; successful
ˈ aʊ t s aɪ d; outside
p ˈ ɑː t s; parts
v ˈ aɪ ə; via
θ ˈ ɪə t ə; theater theatre
p l ˈ eɪ s t; placed
b ɪ h ˈ aɪ n d; behind
b ˈ eɪ; bay
s ə m t ˈ aɪ m z; sometimes
p ɹ ˈ aɪ ə; prior
h ˈ uː z; whose
n ˈ æ tʃ ɹ ə l; natural
ˈ æ k t ɪ v; active
f j ˈ uː tʃ ə; future
s k ˈ ɔː d; scored
ɪ t ˈ æ l j ə n; italian
ˈ æ f ɹ ɪ k ə; africa
s p ˈ æ n ɪ ʃ; spanish
ə t ˈ ɛ n d ɪ d; attended
p ˈ ʊ t; put
l ˈ ɪ s t ɪ d; listed
b ɹ ˈ ɔː t; brought
ɹ ˈ iː dʒ ə n ə l; regional
s t ɹ ˈ ʌ k tʃ ə; structure
j ˈ uː n ɪ t s; units
m ˈ aɪ k ə l; michael
p ˈ ɒ s ɪ b ə l; possible
h ˈ ɛ n ɹ i; henry
m j ˌ uː n ɪ s ɪ p ˈ æ l ɪ t i; municipality
h ˈ aɪ ə; higher hire
s t ˈ ɑː t; start
k ə l ˈ ɛ k ʃ ə n; collection
ɹ ˈ ɛ g j ʊ l ə; regular
s t ˈ ɑː; star
ɹ ɪ z ˈ ʌ l t s; results
s k w ˈ ɛə; square
ˈ ɪ n t ɹ ɪ s t; interest
l ˈ iː d ə; leader
ˌ iː k ə n ˈ ɒ m ɪ k; economic
ɪ s p ˈ ɛ ʃ l i; especially
k ə n t ɹ ˈ æ k t; contract
t ɹ ˈ eɪ d; trade
t ˈ ɛ k s ə s; texas
g ˈ əʊ l; goal
b ɪ l ˈ əʊ; below
w ˈ ɪ n ɪ ŋ; winning
ˈ ɒ f ɪ s ə; officer
f ˈ ɒ ɹ ɪ n; foreign
dʒ ˈ ɛ n ɹ ə l i; generally
ˌ ɒ p ə ɹ ˈ eɪ ʃ ə n; operation
ɹ ˈ ʌ n z; runs
m ˈ ɛ d ə l; medal
tʃ ˈ eɪ n dʒ d; changed
t ˈ eɪ k ɪ ŋ; taking
n ˈ ɒ v ə l; novel
s t ˈ ɑː f; staff
s ɪ g n ˈ ɪ f ɪ k ə n t; significant
ɹ ˈ ɪə l; real
s t ˈ æ n d ə d; standard
f ˈ ɑː; far
l ˈ ɪ m ɪ t ɪ d; limited
t ɹ ə d ˈ ɪ ʃ ə n ə l; traditional
ˈ æ f ɹ ɪ k ə n; african
k ˈ ʌ m; come cum
ɪ n ˈ ɪ ʃ ə l i; initially
ɪ t s ˈ ɛ l f; itself
l əʊ k ˈ eɪ ʃ ə n; location
k ə m ˈ ɪ ʃ ə n; commission
ɹ ˈ əʊ m ə n; roman
m ˈ iː; me
ˈ ɑː t ɪ s t; artist
k ɹ ˈ ɪ s tʃ ə n; christian
p l ˈ eɪ z; plays
m ˈ ʌ n i; money
p ˈ ɑː l ə m ə n t; parliament
f ˈ uː d; food
h ˈ ɪ t; hit
g ˈ ʌ v ə n ə; governor
l ˈ əʊ; lo low
d ɪ f ˈ iː t ɪ d; defeated
ˈ ɛ n ə dʒ i; energy
s t j ˈ uː d ə n t; student
s t ɹ ˈ ɒ ŋ; strong
t ə w ˈ ɔː d z; towards
n ˈ əʊ t ə b ə l; notable
tʃ ˈ aɪ l d; child
ə s ˈ ɛ m b l i; assembly
ˈ əʊ n d; owned
k ˈ æ θ l ɪ k; catholic
k ˈ ɔː s; coarse course
k ə m ˈ ɜː ʃ ə l; commercial
ʃ ˈ ɪ p; ship
f aʊ n d ˈ eɪ ʃ ə n; foundation
tʃ ˈ æ n ə l; channel
ə l ˈ aʊ d; allowed aloud
ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t ɪ d; represented
p ɹ ˈ ɒ p ə t i; property
p l ˈ eɪ s ɪ z; places
n ˈ eɪ v i; navy
j ˈ uː n ɪ t; unit
ˈ ɛ n d ɪ d; ended
ˈ æ n j ʊə l; annual
k ə m ˈ ɑː n d; command
p ˈ æ ɹ ɪ s; paris
l ˈ aɪ b ɹ ə ɹ i; library
k ˈ ʌ m p ə n i z; companies
h ˈ uː m; whom
m ˈ ɛ t; met
ˈ ɛ v ə; ever
æ k t ˈ ɪ v ɪ t i z; activities
s p ˈ ɛ n t; spent
p l ˈ æ n; plan
n j ˈ uː m ə ɹ ə s; numerous
b l ˈ uː; blew blue
ˈ ɜː l ɪə; earlier
m ˈ iː n z; means
h ˈ aɪ w ˌ eɪ; highway
ɹ ɪ k w ˈ aɪ ə d; required
m j ˈ uː z ɪ k ə l; musical
ə d ˈ ɪ ʃ n ə l; additional
p ɹ ˈ æ k t ɪ s; practice practise
