'cos; k ˈ ə z
abstracts; ˈ æ b s t ɹ ˌ æ k t s
absurd; ə b s ˈ ɜː d
abundance; ə b ˈ ʌ n d ə n s
abundant; ə b ˈ ʌ n d ə n t
abuse; ə b j ˈ uː z
abuse; ə b j ˈ uː s
abysmal; ə b ˈ ɪ s m ə l
abyss; ə b ˈ ɪ s
academic; ˌ æ k ə d ˈ ɛ m ɪ k
academics; ˌ æ k ə d ˈ ɛ m ɪ k s
academy; ə k ˈ æ d ə m i
accelerate; æ k s ˈ ɛ l ə ɹ ˌ eɪ t
acceleration; æ k s ˌ ɛ l ə ɹ ˈ eɪ ʃ ə n
accelerator; æ k s ˈ ɛ l ə ɹ ˌ eɪ t ə
accent; ə k s ˈ ɛ n t
accent; ˈ æ k s ˌ ɛ n t
accents; ˈ æ k s ɛ n t s
accept; ə k s ˈ ɛ p t
acceptable; ə k s ˈ ɛ p t ə b ə l
acceptably; ə k s ˈ ɛ p t ə b l i
acceptance; ə k s ˈ ɛ p t ə n s
accepted; ə k s ˈ ɛ p t ɪ d
accepting; ə k s ˈ ɛ p t ɪ ŋ
accepts; ə k s ˈ ɛ p t s
access; ˈ æ k s ˌ ɛ s
accessed; ˈ æ k s ˌ ɛ s t
accesses; ˈ æ k s ˌ ɛ s ɪ z
accessibility; ˌ æ k s ɛ s ɪ b ˈ ɪ l ɪ t i
accessible; ə k s ˈ ɛ s ɪ b ə l
accessing; ˈ æ k s ˌ ɛ s ɪ ŋ
accessories; æ k s ˈ ɛ s ə ɹ i z
accessory; æ k s ˈ ɛ s ə ɹ i
accident; ˈ æ k s ɪ d ə n t
accidentally; ˌ æ k s ɪ d ˈ ɛ n t ə l i
accidents; ˈ æ k s ɪ d ə n t s
accommodate; ə k ˈ ɒ m ə d ˌ eɪ t
accommodation; ə k ˌ ɒ m ə d ˈ eɪ ʃ ə n
accommodations; ə k ˌ ɒ m ə d ˈ eɪ ʃ ə n z
accompanied; ə k ˈ ʌ m p ə n i d
accompany; ə k ˈ ʌ m p ə n i
accompanying; ə k ˈ ʌ m p ə n i ɪ ŋ
accomplish; ə k ˈ ɒ m p l ɪ ʃ
accomplished; ə k ˈ ɒ m p l ɪ ʃ t
accord; ə k ˈ ɔː d
accordance; ə k ˈ ɔː d ə n s
accorded; ə k ˈ ɔː d ɪ d
according; ə k ˈ ɔː d ɪ ŋ
accordingly; ə k ˈ ɔː d ɪ ŋ l i
accordion; ə k ˈ ɔː d ɪə n
accords; ə k ˈ ɔː d z
account; ə k ˈ aʊ n t
accountability; ə k aʊ n t ə b ˈ ɪ l ɪ t i
accountant; ə k ˈ aʊ n t ə n t
accountants; ə k ˈ aʊ n t ə n t s
accounting; ə k ˈ aʊ n t ɪ ŋ
accounts; ə k ˈ aʊ n t s
accreditation; ə k ɹ ˌ ɛ d ɪ t ˈ eɪ ʃ ə n
accredited; ə k ɹ ˈ ɛ d ɪ t ɪ d
accumulate; ə k j ˈ uː m j ʊ l ˌ eɪ t
accumulation; ə k j ˌ uː m j ʊ l ˈ eɪ ʃ ə n
accuracy; ˈ æ k j ʊ ɹ ə s i
accurate; ˈ æ k j ʊ ɹ ɪ t
accurately; ˈ æ k j ʊ ɹ ɪ t l i
accusation; ˌ æ k j ʊ z ˈ eɪ ʃ ə n
accuse; ə k j ˈ uː z
accused; ə k j ˈ uː z d
ace; ˈ eɪ s
acer; ˈ eɪ s ə
ache; ˈ eɪ k
achieve; ə t͡ʃ ˈ iː v
achieved; ə t͡ʃ ˈ iː v d
achievement; ə t͡ʃ ˈ iː v m ə n t
achievements; ə t͡ʃ ˈ iː v m ə n t s
achieving; ə t͡ʃ ˈ iː v ɪ ŋ
acid; ˈ æ s ɪ d
acidic; ə s ˈ ɪ d ɪ k
acids; ˈ æ s ɪ d z
acknowledge; ə k n ˈ ɒ l ɪ d͡ʒ
acknowledged; ə k n ˈ ɒ l ɪ d͡ʒ d
acknowledgement; ə k n ˈ ɒ l ɪ d͡ʒ m ə n t
acknowledgment; ə k n ˈ ɒ l ɪ d͡ʒ m ə n t
acne; ˈ æ k n i
acorn; ˈ eɪ k ɔː n
acoustic; ə k ˈ uː s t ɪ k
acquaintance; ə k w ˈ eɪ n t ə n s
acquiesce; ˌ æ k w ɪ ˈ ɛ s
acquire; ə k w ˈ aɪ ə
acquired; ə k w ˈ aɪ ə d
acquisition; ˌ æ k w ɪ z ˈ ɪ ʃ ə n
acquisitions; ˌ æ k w ɪ z ˈ ɪ ʃ ə n z
acquit; ə k w ˈ ɪ t
acquitted; ə k w ˈ ɪ t ɪ d
acre; ˈ eɪ k ə
acres; ˈ eɪ k ə z
acrobat; ˈ æ k ɹ ə b ˌ æ t
across; ə k ɹ ˈ ɒ s
acrylic; ə k ɹ ˈ ɪ l ɪ k
act; ˈ æ k t
acted; ˈ æ k t ɪ d
acting; ˈ æ k t ɪ ŋ
action; ˈ æ k ʃ ə n
actions; ˈ æ k ʃ ə n z
activate; ˈ æ k t ɪ v ˌ eɪ t
activated; ˈ æ k t ɪ v ˌ eɪ t ɪ d
activation; ˌ æ k t ɪ v ˈ eɪ ʃ ə n
active; ˈ æ k t ɪ v
actively; ˈ æ k t ɪ v l i
activist; ˈ æ k t ɪ v ɪ s t
activists; ˈ æ k t ɪ v ɪ s t s
activities; æ k t ˈ ɪ v ɪ t i z
activity; æ k t ˈ ɪ v ɪ t i
actor; ˈ æ k t ə
actors; ˈ æ k t ə z
actress; ˈ æ k t ɹ ɪ s
acts; ˈ æ k t s
actual; ˈ æ k t͡ʃ ʊə l
actually; ˈ æ k t͡ʃ ʊə l i
acute; ə k j ˈ uː t
ad; ˈ æ d
ada; ˈ eɪ d ə
adage; ˈ æ d ɪ d͡ʒ
adam; ˈ æ d ə m
adamant; ˈ æ d ə m ə n t
adams; ˈ æ d ə m z
adapt; ə d ˈ æ p t
adaptation; ˌ æ d ə p t ˈ eɪ ʃ ə n
adapted; ə d ˈ æ p t ɪ d
adapter; ə d ˈ æ p t ə
adapters; ə d ˈ æ p t ə z
adaptive; ə d ˈ æ p t ɪ v
adaptor; ə d ˈ ɑː p t ə
add; ˈ æ d
added; ˈ æ d ɪ d
addenda; ə d ˈ ɛ n d ə
addendum; ə d ˈ ɛ n d ə m
adder; ˈ æ d ə
addiction; ə d ˈ ɪ k ʃ ə n
adding; ˈ æ d ɪ ŋ
addition; ə d ˈ ɪ ʃ ə n
additional; ə d ˈ ɪ ʃ n ə l
additional; ə d ˈ ɪ ʃ ə n ə l
additionally; ə d ˈ ɪ ʃ n ə l i
additionally; ə d ˈ ɪ ʃ ə n ə l i
additions; ə d ˈ ɪ ʃ ə n z
address; ə d ɹ ˈ ɛ s
addressed; ə d ɹ ˈ ɛ s t
addresses; ə d ɹ ˈ ɛ s ɪ z
addressing; ə d ɹ ˈ ɛ s ɪ ŋ
adds; ˈ æ d z
adelaide; ˈ æ d ə l ˌ eɪ d
adept; ə d ˈ ɛ p t
adequate; ˈ æ d ɪ k w ɪ t
adequately; ˈ æ d ɪ k w ə t l i
adhere; ə d h ˈ ɪə
adhesive; ə d h ˈ iː s ɪ v
adidas; ˈ æ d ɪ d ə s
adirondack; ˌ æ d ɪ ɹ ˈ ɒ n d æ k
adjacency; ə d͡ʒ ˈ eɪ s ə n s i
adjacent; ə d͡ʒ ˈ eɪ s ə n t
adjective; ˈ æ d͡ʒ ɪ k t ɪ v
adjectives; ˈ æ d͡ʒ ɪ k t ɪ v z
adjourn; ə d͡ʒ ˈ ɜː n
adjust; ə d͡ʒ ˈ ʌ s t
adjustable; ə d͡ʒ ˈ ʌ s t ə b ə l
adjusted; ə d͡ʒ ˈ ʌ s t ɪ d
adjustment; ə d͡ʒ ˈ ʌ s t m ə n t
adjustments; ə d͡ʒ ˈ ʌ s t m ə n t s
admin; ˈ æ d m ɪ n
administer; ə d m ˈ ɪ n ɪ s t ə
administered; ə d m ˈ ɪ n ɪ s t ə d
administration; ə d m ˌ ɪ n ɪ s t ɹ ˈ eɪ ʃ ə n
administrative; ə d m ˈ ɪ n ɪ s t ɹ ə t ɪ v
administrator; ə d m ˈ ɪ n ɪ s t ɹ ˌ eɪ t ə
administrators; ə d m ˈ ɪ n ɪ s t ɹ ˌ eɪ t ə z
admiral; ˈ æ d m ə ɹ ə l
admiration; ˌ æ d m ɪ ɹ ˈ eɪ ʃ ə n
admire; ə d m ˈ aɪ ə
admission; ə d m ˈ ɪ ʃ ə n
admissions; æ d m ˈ ɪ ʃ ə n z
admissions; ə d m ˈ ɪ ʃ ə n z
admit; ə d m ˈ ɪ t
admits; ə d m ˈ ɪ t s
admitted; ə d m ˈ ɪ t ɪ d
admittedly; ə d m ˈ ɪ t ɪ d l i
adobe; ə d ˈ əʊ b i
adolescent; ˌ æ d ə l ˈ ɛ s ə n t
adopt; ə d ˈ ɒ p t
adopted; ə d ˈ ɒ p t ɪ d
adoption; ə d ˈ ɒ p ʃ ə n
adore; ə d ˈ ɔː
adrian; ˈ eɪ d ɹ ɪə n
ads; ˈ æ d z
adult; ə d ˈ ʌ l t
adult; ˈ æ d ʌ l t
adults; ə d ˈ ʌ l t s
adults; ˈ æ d ʌ l t s
advance; ə d v ˈ ɑː n s
advanced; ə d v ˈ ɑː n s t
advancement; ə d v ˈ ɑː n s m ə n t
advances; ə d v ˈ ɑː n s ɪ z
advantage; ə d v ˈ ɑː n t ɪ d͡ʒ
advantageous; ˌ æ d v ə n t ˈ eɪ d͡ʒ ə s
advantages; ə d v ˈ ɑː n t ɪ d͡ʒ ɪ z
advent; ˈ æ d v ɛ n t
advent; ˈ æ d v ə n t
adventure; ə d v ˈ ɛ n t͡ʃ ə
adventures; ə d v ˈ ɛ n t͡ʃ ə z
adventurous; ə d v ˈ ɛ n t͡ʃ ə ɹ ə z
adversary; ˈ æ d v ə s ə ɹ i
adverse; ˈ æ d v ɜː s
adverse; æ d v ˈ ɜː s
advert; æ d v ˈ ɜː t
advertise; ˈ æ d v ə t ˌ aɪ z
advertised; ˈ æ d v ə t ˌ aɪ z d
advertisement; ə d v ˈ ɜː t ɪ s m ə n t
advertisement; ə d v ˈ ɜː t ɪ z m ə n t
advertisements; ə d v ˈ ɜː t ɪ s m ə n t s
advertisements; ə d v ˈ ɜː t ɪ z m ə n t s
advertiser; ˈ æ d v ə t ˌ aɪ z ə
advertisers; ˈ æ d v ə t ˌ aɪ z ə z
advertising; ˈ æ d v ə t ˌ aɪ z ɪ ŋ
advice; ə d v ˈ aɪ s
advise; ə d v ˈ aɪ z
advised; ə d v ˈ aɪ z d
adviser; ə d v ˈ aɪ z ə
advisers; ə d v ˈ aɪ z ə z
advisor; ə d v ˈ aɪ z ə
advisors; ə d v ˈ aɪ z ə z
advisory; ə d v ˈ aɪ z ə ɹ i
advocacy; ˈ æ d v ə k ə s i
advocate; ˈ æ d v ə k ˌ eɪ t
advocate; ˈ æ d v ə k ɪ t
adware; ˈ æ d w ˌ ɛə
aerial; ˈ ɛə ɹ ɪə l
aeroplane; ˌ ɛə ɹ ə p l ˈ eɪ n
aerosol; ˈ ɛə ɹ ə s ˌ ɒ l
aerospace; ˈ ɛə ɹ ə s p ˌ eɪ s
aesthetic; ɪ s θ ˈ ɛ t ɪ k
aesthetic; iː s θ ˈ ɛ t ɪ k
aesthetic; ɛ s θ ˈ ɛ t ɪ k
afar; ə f ˈ ɑː
affair; ə f ˈ ɛə
affairs; ə f ˈ ɛə z
affect; ə f ˈ ɛ k t
affected; ə f ˈ ɛ k t ɪ d
affecting; ə f ˈ ɛ k t ɪ ŋ
affection; ə f ˈ ɛ k ʃ ə n
affects; ə f ˈ ɛ k t s
affiliate; ə f ˈ ɪ l ɪ ˌ eɪ t
affiliate; ə f ˈ ɪ l ɪə t
affiliated; ə f ˈ ɪ l ɪ ˌ eɪ t ɪ d
affiliates; ə f ˈ ɪ l ɪ ˌ eɪ t s
affiliates; ə f ˈ ɪ l ɪə t s
affiliation; ə f ˌ ɪ l ɪ ˈ eɪ ʃ ə n
affirm; ə f ˈ ɜː m
afford; ə f ˈ ɔː d
affordable; ə f ˈ ɔː d ə b ə l
afghanistan; æ f g ˈ æ n ɪ s t ˌ ɑː n
afghanistan; æ f g ˈ æ n ɪ s t ˌ æ n
afoot; ə f ˈ ʊ t
afraid; ə f ɹ ˈ eɪ d
africa; ˈ æ f ɹ ɪ k ə
african; ˈ æ f ɹ ɪ k ə n
afro; ˈ æ f ɹ əʊ
after; ˈ ɑː f t ə
afternoon; ˌ ɑː f t ə n ˈ uː n
afternoons; ˌ ɑː f t ə n ˈ uː n z
afterward; ˈ ɑː f t ə w ə d
afterwards; ˈ ɑː f t ə w ə d z
again; ə g ˈ ɛ n
again; ə g ˈ eɪ n
against; ə g ˈ ɛ n s t
against; ə g ˈ eɪ n s t
age; ˈ eɪ d͡ʒ
aged; ˈ eɪ d͡ʒ d
aged; ˈ eɪ d͡ʒ ɪ d
ageing; ˈ eɪ d͡ʒ ɪ ŋ
agencies; ˈ eɪ d͡ʒ ə n s i z
agency; ˈ eɪ d͡ʒ ə n s i
agenda; ə d͡ʒ ˈ ɛ n d ə
agent; ˈ eɪ d͡ʒ ə n t
agents; ˈ eɪ d͡ʒ ə n t s
ages; ˈ eɪ d͡ʒ ɪ z
aggravate; ˈ æ g ɹ ə v ˌ eɪ t
aggregate; ˈ æ g ɹ ɪ g ˌ eɪ t
aggregate; ˈ æ g ɹ ɪ g ɪ t
aggression; ə g ɹ ˈ ɛ ʃ ə n
aggressive; ə g ɹ ˈ ɛ s ɪ v
aggro; ˈ æ g ɹ əʊ
agile; ˈ æ d͡ʒ aɪ l
aging; ˈ eɪ d͡ʒ ɪ ŋ
agitate; ˈ æ d͡ʒ ɪ t ˌ eɪ t
agnes; ˈ æ g n ɪ s
ago; ə g ˈ əʊ
agony; ˈ æ g ə n i
agree; ə g ɹ ˈ iː
agreed; ə g ɹ ˈ iː d
agreeing; ə g ɹ ˈ iː ɪ ŋ
agreement; ə g ɹ ˈ iː m ə n t
agreements; ə g ɹ ˈ iː m ə n t s
agrees; ə g ɹ ˈ iː z
agricultural; ˌ æ g ɹ ɪ k ˈ ʌ l t͡ʃ ə ɹ ə l
agriculture; ˈ æ g ɹ ɪ k ˌ ʌ l t͡ʃ ə
ah; ˈ ɑː
aha; ˌ ɑː h ˈ ɑː
ahead; ə h ˈ ɛ d
ahold; ə h ˈ əʊ l d
aid; ˈ eɪ d
aide; ˈ eɪ d
aids; ˈ eɪ d z
aigburth; ˈ ɛ g b ə θ
ail; ˈ eɪ l
ailing; ˈ eɪ l ɪ ŋ
aim; ˈ eɪ m
aimed; ˈ eɪ m d
aiming; ˈ eɪ m ɪ ŋ
aims; ˈ eɪ m z
ain't; ˈ eɪ n t
air; ˈ ɛə
aircraft; ˈ ɛə k ɹ ˌ ɑː f t
airfare; ˈ ɛə f ˌ ɛə
airing; ˈ ɛə ɹ ɪ ŋ
airline; ˈ ɛə l ˌ aɪ n
airlines; ˈ ɛə l ˌ aɪ n z
airplane; ˈ ɛə p l ˌ eɪ n
airport; ˈ ɛə p ˌ ɔː t
airports; ˈ ɛə p ˌ ɔː t s
airways; ˈ ɛə w ˌ eɪ z
airy; ˈ ɛə ɹ i
aisle; ˈ aɪ l
aitch; ˈ eɪ t͡ʃ
aitches; ˈ eɪ t͡ʃ ɪ z
ajar; ə d͡ʒ ˈ ɑː
akin; ə k ˈ ɪ n
al; ˈ æ l
alabama; ˌ æ l ə b ˈ æ m ə
alan; ˈ æ l ə n
alarm; ə l ˈ ɑː m
alas; ə l ˈ æ s
alaska; ə l ˈ æ s k ə
albania; æ l b ˈ eɪ n ɪə
albany; ˈ ɔː l b ə n i
albeit; ɔː l b ˈ iː ɪ t
albert; ˈ æ l b ə t
alberta; æ l b ˈ ɜː t ə
album; ˈ æ l b ə m
albums; ˈ æ l b ə m z
albuquerque; ˈ æ l b ə k ˌ ɜː k i
alchemy; ˈ æ l k ə m i
alcohol; ˈ æ l k ə h ˌ ɒ l
aldeburgh; ˈ ɔː l b ɹ ə
ale; ˈ eɪ l
alert; ə l ˈ ɜː t
alerts; ə l ˈ ɜː t s
alex; ˈ æ l ɪ k s
alexander; ˌ æ l ɪ g z ˈ ɑː n d ə
alexandria; ˌ æ l ɪ g z ˈ ɑː n d ɹ ɪə
alfred; ˈ æ l f ɹ ɪ d
algae; ˈ æ l g i
algebra; ˈ æ l d͡ʒ ɪ b ɹ ə
algeria; æ l d͡ʒ ˈ ɪə ɹ ɪə
algorithm; ˈ æ l g ə ɹ ˌ ɪ ð ə m
algorithms; ˈ æ l g ə ɹ ˌ ɪ ð ə m z
ali; ˈ ɑː l i
alias; ˈ eɪ l ɪə s
alibi; ˈ æ l ɪ b ˌ aɪ
alice; ˈ æ l ɪ s
alien; ˈ eɪ l ɪə n
aliens; ˈ eɪ l ɪə n z
align; ə l ˈ aɪ n
alignment; ə l ˈ aɪ n m ə n t
alike; ə l ˈ aɪ k
alison; ˈ æ l ɪ s ə n
alive; ə l ˈ aɪ v
all; ˈ ɔː l
allah; ˈ æ l ə
allah; ə l ˈ ɑː
allan; ˈ æ l ə n
allay; ə l ˈ eɪ
allegation; ˌ æ l ɪ g ˈ eɪ ʃ ə n
allegations; ˌ æ l ɪ g ˈ eɪ ʃ ə n z
allege; ə l ˈ ɛ d͡ʒ
alleged; ə l ˈ ɛ d͡ʒ d
allegedly; ə l ˈ ɛ d͡ʒ ɪ d l i
allegiance; ə l ˈ iː d͡ʒ ə n s
allen; ˈ æ l ə n
allergic; ə l ˈ ɜː d͡ʒ ɪ k
allergy; ˈ æ l ə d͡ʒ i
alley; ˈ æ l i
alliance; ə l ˈ aɪ ə n s
allied; ˈ æ l ˌ aɪ d
allied; ə l ˈ aɪ d
allies; ə l ˈ aɪ z
allies; ˈ æ l aɪ z
allocate; ˈ æ l ə k ˌ eɪ t
allocated; ˈ æ l ə k ˌ eɪ t ɪ d
allocation; ˌ æ l ə k ˈ eɪ ʃ ə n
allot; ə l ˈ ɒ t
alloted; ə l ˈ ɒ t ɪ d
allotment; ə l ˈ ɒ t m ə n t
allow; ə l ˈ aʊ
allowance; ə l ˈ aʊ ə n s
allowances; ə l ˈ aʊ ə n s ɪ z
allowed; ə l ˈ aʊ d
allowing; ə l ˈ aʊ ɪ ŋ
allows; ə l ˈ aʊ z
alloy; ˈ æ l ɔɪ
alloy; ə l ˈ ɔɪ
ally; ə l ˈ aɪ
ally; ˈ æ l aɪ
almighty; ɔː l m ˈ aɪ t i
almond; ˈ ɑː m ə n d
almost; ˈ ɔː l m ˌ əʊ s t
alnick; ˈ æ n ɪ k
aloe; ˈ æ l əʊ
aloft; ə l ˈ ɒ f t
alone; ə l ˈ əʊ n
along; ə l ˈ ɒ ŋ
alongside; ə l ˈ ɒ ŋ s ˌ aɪ d
aloof; ə l ˈ uː f
aloud; ə l ˈ aʊ d
alpha; ˈ æ l f ə
alphabetical; ˌ æ l f ə b ˈ ɛ t ɪ k ə l
alpine; ˈ æ l p ˌ aɪ n
alps; ˈ æ l p s
already; ɔː l ɹ ˈ ɛ d i
alresford; ˈ ɒ l s f ə d
alresford; ˈ eɪ l s f ə d
alresford; ˈ ɒ l z f ə d
alresford; ˈ ɔː l z f ə d
alright; ˌ ɔː l ɹ ˈ aɪ t
alsager; ˈ ɒ l s eɪ d͡ʒ ə
also; ˈ ɔː l s əʊ
altar; ˈ ɔː l t ə
alter; ˈ ɔː l t ə
alteration; ˌ ɔː l t ə ɹ ˈ eɪ ʃ ə n
alterations; ˌ ɔː l t ə ɹ ˈ eɪ ʃ ə n z
altered; ˈ ɔː l t ə d
alternate; ˈ ɔː l t ə n ˌ eɪ t
alternate; ˈ ɔː l t ə n ɪ t
alternative; ɔː l t ˈ ɜː n ə t ɪ v
alternatively; ɔː l t ˈ ɜː n ə t ɪ v l i
alternatives; ɔː l t ˈ ɜː n ə t ɪ v z
althorp; ˈ ɔː l θ ɔː p
althorp; ˈ ɔː l t ɹ ə p
although; ˌ ɔː l ð ˈ əʊ
altitude; ˈ æ l t ɪ t j ˌ uː d
altogether; ˌ ɔː l t ə g ˈ ɛ ð ə
altrincham; ˈ ɒ l t ɹ ɪ ŋ ə m
aluminium; ˌ æ l j ʊ m ˈ ɪ n ɪə m
aluminum; ə l ˈ uː m ɪ n ə m
alumni; ə l ˈ ʌ m n ˌ aɪ
alumnus; ə l ˈ ʌ m n ə s
alverdiscott; ˈ ɒ l s k ɒ t
alverdiscott; ˈ ɔː l s k ɒ t
always; ˈ ɔː l w ɪ z
always; ˈ ɔː l w ˌ eɪ z
am; ˈ æ m
amanda; ə m ˈ æ n d ə
amass; ə m ˈ æ s
amateur; ˈ æ m ə t ə
amateur; ˈ æ m ə t͡ʃ ə
amateur; ˈ æ m ə t͡ʃ ˌ ʊə
amateur; ˌ æ m ə t ˈ ɜː
amaze; ə m ˈ eɪ z
amazed; ə m ˈ eɪ z d
amazing; ə m ˈ eɪ z ɪ ŋ
amazon; ˈ æ m ə z ə n
ambassador; æ m b ˈ æ s ə d ə
amber; ˈ æ m b ə
ambient; ˈ æ m b ɪə n t
ambiguity; ˌ æ m b ɪ g j ˈ uː ɪ t i
ambiguous; æ m b ˈ ɪ g j ʊə s
ambition; æ m b ˈ ɪ ʃ ə n
ambitions; æ m b ˈ ɪ ʃ ə n z
ambitious; æ m b ˈ ɪ ʃ ə s
ambulance; ˈ æ m b j ʊ l ə n s
amen; ˌ eɪ m ˈ ɛ n
amen; ˌ ɑː m ˈ ɛ n
amend; ə m ˈ ɛ n d
amended; ə m ˈ ɛ n d ɪ d
amendment; ə m ˈ ɛ n d m ə n t
amendments; ə m ˈ ɛ n d m ə n t s
amenities; ə m ˈ ɛ n ɪ t i z
america; ə m ˈ ɛ ɹ ɪ k ə
american; ə m ˈ ɛ ɹ ɪ k ə n
americans; ə m ˈ ɛ ɹ ɪ k ə n z
americas; ə m ˈ ɛ ɹ ɪ k ə z
amid; ə m ˈ ɪ d
amino; ə m ˈ iː n əʊ
amino; ə m ˈ aɪ n əʊ
amiss; ə m ˈ ɪ s
amnesty; ˈ æ m n ɪ s t i
amok; ə m ˈ ɒ k
among; ə m ˈ ʌ ŋ
amongst; ə m ˈ ʌ ŋ s t
amount; ə m ˈ aʊ n t
amounts; ə m ˈ aʊ n t s
amp; ˈ æ m p
ampersand; ˈ æ m p ə s ˌ æ n d
amphibian; æ m f ˈ ɪ b ɪə n
amphitheater; ˌ æ m f ɪ θ ˈ ɪə t ə
ample; ˈ æ m p ə l
amplifier; ˈ æ m p l ɪ f ˌ aɪ ə
amplitude; ˈ æ m p l ɪ t j ˌ uː d
amply; ˈ æ m p l i
amsterdam; ˈ æ m s t ə d ˌ æ m
amuse; ə m j ˈ uː z
amusement; ə m j ˈ uː z m ə n t
amusing; ə m j ˈ uː z ɪ ŋ
amy; ˈ eɪ m i
an; ə n
an; ˈ æ n
ana; ˈ æ n ə
ana; ˈ ɑː n ə
anaesthesia; ˌ æ n ɪ s θ ˈ iː z ɪə
anaesthetise; ə n ˈ iː s θ ə t ˌ aɪ z
anal; ˈ eɪ n ə l
analog; ˈ æ n ə l ˌ ɒ g
analogous; ə n ˈ æ l ə g ə s
analogy; ə n ˈ æ l ə d͡ʒ i
analyse; ˈ æ n ə l ˌ aɪ z
analysed; ˈ æ n ə l ˌ aɪ z d
analyses; ˈ æ n ə l ˌ aɪ z i z
analyses; ə n ˈ æ l ɪ s ˌ iː z
analysis; ə n ˈ æ l ɪ s ɪ s
analyst; ˈ æ n ə l ɪ s t
analysts; ˈ æ n ə l ɪ s t s
analytical; ˌ æ n ə l ˈ ɪ t ɪ k ə l
analyze; ˈ æ n ə l ˌ aɪ z
analyzed; ˈ æ n ə l ˌ aɪ z d
anathema; ə n ˈ æ θ ə m ə
anathemas; ə n ˈ æ θ ə m ə z
anatomy; ə n ˈ æ t ə m i
ancestor; ˈ æ n s ˌ ɛ s t ə
ancestors; ˈ æ n s ˌ ɛ s t ə z
ancestral; æ n s ˈ ɛ s t ɹ ə l
anchor; ˈ æ ŋ k ə
ancient; ˈ eɪ n ʃ ə n t
ancillary; æ n s ˈ ɪ l ə ɹ i
and; ə n d
and; ˈ æ n d
anderson; ˈ æ n d ə s ə n
andorra; æ n d ˈ ɔː ɹ ə
andrea; ˈ æ n d ɹ ɪə
andrea; ˌ æ n d ɹ ˈ eɪ ə
andreas; ɒ n d ɹ ˈ eɪ ə s
andrew; ˈ æ n d ɹ uː
andrews; ˈ æ n d ɹ ˌ uː z
android; ˈ æ n d ɹ ɔɪ d
andy; ˈ æ n d i
anecdote; ˈ æ n ɪ k d ˌ əʊ t
anecdotes; ˈ æ n ɪ k d ˌ əʊ t s
anemone; ə n ˈ ɛ m ə n i
anesthesia; ˌ æ n ɪ s θ ˈ iː z ɪə
anew; ə n j ˈ uː
angel; ˈ eɪ n d͡ʒ ə l
angela; ˈ æ n d͡ʒ ə l ə
angels; ˈ eɪ n d͡ʒ ə l z
anger; ˈ æ ŋ g ə
angie; ˈ æ n d͡ʒ i
angle; ˈ æ ŋ g ə l
angles; ˈ æ ŋ g ə l z
angola; æ ŋ g ˈ əʊ l ə
angrily; ˈ æ ŋ g ɹ ɪ l i
angry; ˈ æ ŋ g ɹ i
angst; ˌ æ ŋ s t
angus; ˈ æ ŋ g ə s
animal; ˈ æ n ɪ m ə l
animals; ˈ æ n ɪ m ə l z
animated; ˈ æ n ɪ m ˌ eɪ t ɪ d
animation; ˌ æ n ɪ m ˈ eɪ ʃ ə n
anime; ˈ æ n ɪ m ˌ eɪ
ankle; ˈ æ ŋ k ə l
